Rank,ZipCode,Neighborhood,MedianHousePrice,County,Year
1,98039,Medina,2400000,King County,2017
2,98004,Bellevue,1279000,King County,2017
3,98040,Mercer Island,1237500,King County,2017
4,98112,Seattle,956327,King County,2017
5,98075,Sammamish,930000,King County,2017
6,98006,Bellevue,831750,King County,2017
7,98077,Woodinville,827495,King County,2017
8,98033,Kirkland,825000,King County,2017
9,98105,Seattle,810000,King County,2017
10,98074,Sammamish,767993,King County,2017
11,98119,Seattle,757000,King County,2017
12,98199,Seattle,750000,King County,2017
13,98005,Bellevue,740000,King County,2017
14,98107,Seattle,738288,King County,2017
15,98110,Bainbridge Island,730000,Kitsap County,2017
16,98053,Redmond,722501,King County,2017
17,98117,Seattle,700500,King County,2017
18,98115,Seattle,696000,King County,2017
19,98122,Seattle,691000,King County,2017
20,98052,Redmond,690000,King County,2017
21,98008,Bellevue,685900,King County,2017
22,98103,Seattle,675000,King County,2017
23,98109,Seattle,673500,King County,2017
24,98116,Seattle,652000,King County,2017
25,98102,Seattle,637500,King County,2017
26,98177,Seattle,630000,King County,2017
27,98072,Woodinville,627500,King County,2017
28,98020,Edmonds,627500,Snohomish County,2017
29,98029,Issaquah,624500,King County,2017
30,98065,Snoqualmie,610000,King County,2017
31,98136,Seattle,600000,King County,2017
32,98027,Issaquah,589444,King County,2017
33,98144,Seattle,589000,King County,2017
34,98050,Preston,582500,King County,2017
35,98101,Seattle,575000,King County,2017
36,98028,Kenmore,567000,King County,2017
37,98024,Fall City,560500,King County,2017
38,98333,Fox Island,550000,Pierce County,2017
39,98014,Carnation,545000,King County,2017
40,98121,Seattle,537000,King County,2017
41,98296,Snohomish,520000,Snohomish County,2017
42,98070,Vashon,515000,King County,2017
43,98019,Duvall,509995,King County,2017
44,98125,Seattle,508167,King County,2017
45,98104,Seattle,497000,King County,2017
46,98059,Renton,495000,King County,2017
47,98034,Kirkland,487250,King County,2017
48,98011,Bothell,480000,King County,2017
49,98126,Seattle,479950,King County,2017
50,98155,Seattle,475000,King County,2017
51,98106,Seattle,450000,King County,2017
51,98108,Seattle,450000,King County,2017
51,98118,Seattle,450000,King County,2017
51,98133,Seattle,450000,King County,2017
51,98134,Seattle,450000,King County,2017
51,98146,Seattle,450000,King County,2017
51,98154,Seattle,450000,King County,2017
51,98164,Seattle,450000,King County,2017
51,98168,Seattle,450000,King County,2017
51,98178,Seattle,450000,King County,2017
51,98195,Seattle,450000,King County,2017